,Timestamp,Temperature,Humidity,Moisture,sTimestamp,dTimestamp-1,Rows_Before,dTimestamp,dMoisture
0,2023-08-05 12:36:52,33.0,70,0.35051546391752575,8/5/2023 12:36:52,,,,
1,2023-08-05 12:37:01,33.0,70,0.35051546391752575,8/5/2023 12:37:01,9.0,,,
2,2023-08-05 12:37:09,33.0,70,0.35051546391752575,8/5/2023 12:37:09,8.0,,,
3,2023-08-05 12:37:18,33.0,70,0.35051546391752575,8/5/2023 12:37:18,9.0,,,
4,2023-08-05 12:37:27,33.0,70,0.35051546391752575,8/5/2023 12:37:27,9.0,,,
5,2023-08-05 12:37:34,33.0,70,0.35051546391752575,8/5/2023 12:37:34,7.0,,,
6,2023-08-05 12:37:42,32.9,69,0.35051546391752575,8/5/2023 12:37:42,8.0,,,
7,2023-08-05 12:43:38,32.9,70,0.3118556701030928,8/5/2023 12:43:38,356.0,,,
8,2023-08-05 12:43:47,33.0,71,0.3170103092783505,8/5/2023 12:43:47,9.0,,,
9,2023-08-05 12:43:56,33.0,71,0.31572164948453607,8/5/2023 12:43:56,9.0,,,
10,2023-08-05 12:44:04,33.0,70,0.31829896907216493,8/5/2023 12:44:04,8.0,,,
11,2023-08-05 12:44:11,33.0,70,0.31443298969072164,8/5/2023 12:44:11,7.0,,,
12,2023-08-05 12:44:20,33.1,70,0.31572164948453607,8/5/2023 12:44:20,9.0,,,
13,2023-08-05 12:44:28,33.0,70,0.31572164948453607,8/5/2023 12:44:28,8.0,,,
14,2023-08-05 12:44:43,33.0,70,0.31572164948453607,8/5/2023 12:44:43,15.0,,,
15,2023-08-05 12:44:52,33.1,70,0.7164948453608248,8/5/2023 12:44:52,9.0,,,
16,2023-08-05 12:45:00,33.1,70,0.8286082474226804,8/5/2023 12:45:00,8.0,,,
17,2023-08-05 12:45:09,33.2,70,0.6958762886597938,8/5/2023 12:45:09,9.0,,,
18,2023-08-05 12:45:18,33.2,70,0.6894329896907216,8/5/2023 12:45:18,9.0,,,
19,2023-08-05 12:45:27,33.2,69,0.6907216494845361,8/5/2023 12:45:27,9.0,,,
20,2023-08-05 12:45:35,33.3,69,0.6894329896907216,8/5/2023 12:45:35,8.0,,,
21,2023-08-05 12:45:43,33.3,69,0.6881443298969072,8/5/2023 12:45:43,8.0,,,
22,2023-08-05 12:45:51,33.3,69,0.6894329896907216,8/5/2023 12:45:51,8.0,,,
23,2023-08-05 12:46:01,33.2,69,0.6907216494845361,8/5/2023 12:46:01,10.0,,,
24,2023-08-05 12:46:10,33.2,69,0.6907216494845361,8/5/2023 12:46:10,9.0,,,
25,2023-08-05 12:46:19,33.2,69,0.6932989690721649,8/5/2023 12:46:19,9.0,,,
26,2023-08-05 12:46:28,33.3,69,0.6945876288659794,8/5/2023 12:46:28,9.0,,,
27,2023-08-05 12:46:37,33.3,69,0.6945876288659794,8/5/2023 12:46:37,9.0,,,
28,2023-08-05 12:46:46,33.2,69,0.6945876288659794,8/5/2023 12:46:46,9.0,,,
29,2023-08-05 12:46:55,33.3,68,0.6984536082474226,8/5/2023 12:46:55,9.0,,,
30,2023-08-05 12:47:04,33.2,68,0.6971649484536082,8/5/2023 12:47:04,9.0,,,
31,2023-08-05 12:47:12,33.2,69,0.6971649484536082,8/5/2023 12:47:12,8.0,,,
32,2023-08-05 12:47:20,33.3,69,0.6984536082474226,8/5/2023 12:47:20,8.0,,,
33,2023-08-05 12:47:28,33.2,69,0.6971649484536082,8/5/2023 12:47:28,8.0,,,
